"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"A60 (interacts with) A59","A60","A59",1.35714922867928e-06,4.26191590972938,12,2
"A60 (interacts with) B00","A60","B00",8.08100728439946e-53,4.64733701796257,10,1
"A60 (interacts with) B37","A60","B37",3.54152791230395e-08,4.47747225277472,8,1
"A60 (interacts with) B85","A60","B85",1.88213918741874e-07,4.4093271641426,9,1
"A60 (interacts with) F10","A60","F10",3.0853010961333e-05,4.11041300933198,7,2
"A60 (interacts with) F33","A60","F33",5.41748189685128e-11,5.92193993667128,5,2
"A60 (interacts with) H15","A60","H15",1.89713433790115e-05,4.0106016432547,11,1
"A60 (interacts with) K70","A60","K70",5.46350931769958e-16,4.85153593008794,5,2
"A60 (interacts with) N34","A60","N34",1.90235531889345e-07,4.9891584925142,4,2
"A60 (interacts with) N48","A60","N48",2.05648465227009e-10,4.39607812948331,9,1
"A60 (interacts with) R19","A60","R19",3.5022469028468e-08,4.2423123230614,7,1
"A60 (interacts with) R35","A60","R35",1.03467877170605e-10,4.35510844485464,6,2
"A60 (interacts with) R39","A60","R39",3.52218381274525e-06,4.70814132104455,10,1
"A60 (interacts with) S51","A60","S51",3.31205180149464e-06,4.02989130434783,10,2
"A60 (interacts with) T16","A60","T16",2.32548498366613e-07,4.23122874735778,12,1
"A63 (interacts with) A60","A63","A60",2.12404585577575e-06,4.10195212802649,8,2
"A63 (interacts with) B85","A63","B85",7.05285868338689e-12,5.03930506579513,6,1
"A63 (interacts with) O23","A63","O23",5.26054247747986e-09,4.71782820097245,4,2
"A63 (interacts with) O86","A63","O86",7.1569932817579e-08,4.52312093789844,4,2
"B00 (interacts with) A60","B00","A60",6.89539164148145e-31,5.19737830528846,9,1
"B00 (interacts with) K13","B00","K13",6.03746874688535e-07,4.12510195118891,6,1
"B00 (interacts with) L71","B00","L71",2.90701929972607e-07,5.95286971093423,5,1
"B00 (interacts with) L91","B00","L91",2.08565698518616e-09,4.9452399380805,12,1
"B00 (interacts with) S50","B00","S50",5.8555367396489e-06,4.13909905715283,16,1
"B02 (interacts with) K13","B02","K13",2.26632788994066e-06,4.60560565689691,4,1
"B02 (interacts with) N61","B02","N61",1.85850747365978e-06,4.86026092870834,14,2
"B07 (interacts with) A63","B07","A63",3.5826371584352e-07,4.57598978288633,6,2
"B07 (interacts with) L51","B07","L51",1.29901171866921e-06,5.43788393437884,2,1
"B08 (interacts with) B96","B08","B96",1.25410319139585e-05,4.51888341543514,2,1
"B08 (interacts with) K62","B08","K62",9.73532713315427e-07,4.05223798526339,5,2
"B08 (interacts with) M19","B08","M19",3.73020821436952e-08,4.0633181209521,6,1
"B16 (interacts with) B18","B16","B18",9.65886539172838e-10,4.00484946453829,4,1
"B16 (interacts with) D68","B16","D68",4.86358321447514e-07,5.06289467037131,7,1
"B16 (interacts with) E50","B16","E50",7.53680996719497e-06,4.39596314172883,14,1
"B16 (interacts with) K74","B16","K74",1.93390702930003e-07,5.41055077217439,8,2
"B16 (interacts with) N00","B16","N00",4.7721812612937e-06,4.74468463132958,7,1
"B16 (interacts with) N17","B16","N17",2.04056256239192e-06,4.64210788175297,8,1
"B16 (interacts with) R17","B16","R17",6.71354225933627e-06,4.26706367384333,9,2
"B16 (interacts with) Z22","B16","Z22",1.35444483417754e-16,7.95413548004954,6,2
"B17 (interacts with) B16","B17","B16",4.01261183478284e-07,5.3905051382255,8,1
"B17 (interacts with) K72","B17","K72",2.01433344891998e-12,7.32229447655748,6,1
"B17 (interacts with) K74","B17","K74",3.93544470440179e-09,5.79557053671042,11,2
"B17 (interacts with) K85","B17","K85",8.3286987304232e-12,5.04967550400442,13,2
"B17 (interacts with) R18","B17","R18",1.36874162833793e-05,4.04452539971666,14,1
"B17 (interacts with) Z22","B17","Z22",9.33196884072415e-15,10.7017296484302,11,1
"B18 (interacts with) B16","B18","B16",2.38435173779402e-14,4.04578558813276,5,2
"B18 (interacts with) C22","B18","C22",1.04127495429867e-131,5.51419189811875,10,1
"B18 (interacts with) C78","B18","C78",1.31334138481729e-07,4.64968534611927,7,2
"B18 (interacts with) D63","B18","D63",1.94573742067168e-08,4.09613054045284,8,1
"B18 (interacts with) E03","B18","E03",2.37104465926409e-08,5.3955518018018,3,1
"B18 (interacts with) E88","B18","E88",2.15116336150854e-07,4.05352267331434,8,2
"B18 (interacts with) K72","B18","K72",1.11787152199417e-08,4.0981312428009,4,1
"B18 (interacts with) K74","B18","K74",1.4866386099911e-155,6.90947816701471,10,1
"B18 (interacts with) K80","B18","K80",5.25136613772279e-08,4.77221807318895,4,1
"B18 (interacts with) N08","B18","N08",3.23191239820958e-06,4.11968427835052,6,1
"B18 (interacts with) R18","B18","R18",6.97362926576906e-51,5.72163011669497,10,1
"B18 (interacts with) Z22","B18","Z22",2.21107097182264e-104,14.0011190967646,7,1
"B19 (interacts with) C22","B19","C22",6.00023016951718e-08,4.39745358090186,9,2
"B19 (interacts with) E83","B19","E83",9.01800677970917e-07,5.23757640180707,9,1
"B19 (interacts with) K56","B19","K56",9.8203620238029e-07,4.5042321183468,6,2
"B19 (interacts with) N05","B19","N05",2.35511382670097e-08,5.37823054833857,9,1
"B30 (interacts with) L02","B30","L02",1.40033882873165e-06,4.29662132514261,18,2
"B30 (interacts with) L04","B30","L04",8.50317941991932e-07,5.13974358974359,17,2
"B30 (interacts with) S20","B30","S20",2.54256156048411e-06,4.09987357774968,18,2
"B33 (interacts with) J05","B33","J05",2.53412275631123e-08,4.59108459108459,9,2
"B33 (interacts with) M22","B33","M22",2.65160490017566e-06,4.43544749436163,3,2
"B34 (interacts with) J15","B34","J15",6.96169594361621e-08,5.62469135802469,3,1
"B35 (interacts with) B85","B35","B85",1.16770841914371e-05,6.61532175689479,16,1
"B35 (interacts with) L20","B35","L20",1.18209923586521e-09,5.49058823529412,18,2
"B35 (interacts with) L25","B35","L25",1.72643325205578e-06,4.09320118240306,18,2
"B35 (interacts with) M53","B35","M53",5.02017759384813e-07,6.45161290322581,18,2
"B36 (interacts with) H11","B36","H11",1.36775574433072e-09,4.32307499057907,16,1
"B36 (interacts with) N63","B36","N63",1.8087957565989e-09,7.33094217478786,13,2
"B36 (interacts with) S93","B36","S93",3.574431799614e-08,4.64224983649444,16,2
"B37 (interacts with) A60","B37","A60",1.45764477862615e-05,4.54752620651238,15,2
"B37 (interacts with) A63","B37","A63",8.32142986900792e-05,4.00824175824176,11,2
"B37 (interacts with) B01","B37","B01",3.37000142492879e-06,4.84295845997974,3,2
"B37 (interacts with) B85","B37","B85",9.61937859882185e-11,4.14559442589636,4,2
"B37 (interacts with) D63","B37","D63",1.828519463691e-05,4.08400610348176,12,1
"B37 (interacts with) F40","B37","F40",1.29274590945356e-08,6.99862825788752,10,1
"B37 (interacts with) G62","B37","G62",1.36933965798846e-06,5.12731451921849,7,1
"B37 (interacts with) J90","B37","J90",3.52114036017466e-08,6.56388206388206,8,1
"B37 (interacts with) K61","B37","K61",1.1575443290892e-06,4.31028484453142,12,2
